PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/E0771/ecc_pipe_result/cresil_result.analysis.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
22.01-2	chr11	65216707	65217252	+	7747	NA	intron (NM_146386, intron 5 of 12)	intron (NM_146386, intron 5 of 12)	53010	NM_145136	214384	Mm.32257	NM_145136	ENSMUSG00000020542	Myocd	BSAC2A|Srfcp	myocardin	protein-coding
10.83-4	chr5	78919520	78920123	+	7746	NA	Intergenic	Lx2B2|LINE|L1	1454333	NR_131050	69370	Mm.426881	NR_131050	ENSMUSG00000107232	1700017L05Rik	-	RIKEN cDNA 1700017L05 gene	ncRNA
32.82-2	chr17	24080749	24081275	+	7745	NA	intron (NM_001080773, intron 11 of 13)	intron (NM_001080773, intron 11 of 13)	-7527	NM_027008	69259	Mm.28171	NM_027008	ENSMUSG00000016946	Kctd5	2610030N08Rik|mKIAA0176	potassium channel tetramerisation domain containing 5	protein-coding
14.4-4	chr17	51152409	51152870	+	7744	NA	intron (NM_028162, intron 1 of 21)	intron (NM_028162, intron 1 of 21)	6739	NM_001285993	72238	Mm.120650	NM_028162	ENSMUSG00000023923	Tbc1d5	1600014N05Rik	TBC1 domain family, member 5	protein-coding
9.98-2	chr12	46888798	46889299	+	7743	NA	Intergenic	Intergenic	-70281	NM_001364638	664883	Mm.247195	NM_021361	ENSMUSG00000021047	Nova1	9430099M15Rik|G630039L02|Nova-1	neuro-oncological ventral antigen 1	protein-coding
10.79-4	chr10	93891103	93892126	+	7742	NA	promoter-TSS (NM_019648)	promoter-TSS (NM_019648)	-412	NM_019648	56307	Mm.289329	NM_019648	ENSMUSG00000036112	Metap2	4930584B20Rik|A930035J23Rik|AI047573|AL024412|AU014659|Amp2|Mnpep|p67|p67eIF2	methionine aminopeptidase 2	protein-coding
7.91-9	chr17	21404247	21405823	+	7741	NA	Intergenic	MURVY-LTR|LTR|ERV1	-18192	NM_011760	22712	Mm.12916	NM_011760	ENSMUSG00000023882	Zfp54	2810034D10Rik|KRAB10|Zfp-54|Zfp76|mszf83	zinc finger protein 54	protein-coding
10.69-2	chr13	30133204	30134701	+	7740	NA	Intergenic	Intergenic	-2538	NM_153546	218121	Mm.89682	NM_153546	ENSMUSG00000038732	Mboat1	9130215M02Rik|BC023845|LPEAT1|Moact1|Oact1	membrane bound O-acyltransferase domain containing 1	protein-coding
5.27-4	chr3	58165490	58166281	+	7739	NA	Intergenic	Intergenic	-2078	NR_040538	67850	Mm.416968	NR_040538	ENSMUSG00000100666	1700007F19Rik	-	RIKEN cDNA 1700007F19 gene	ncRNA
48.26	chr19	24984309	24984697	+	7738	NA	Intergenic	Intergenic	-15026	NM_028785	76088	Mm.102485	NM_028785	ENSMUSG00000052085	Dock8	1200017A24Rik|5830472H07Rik|A130095G14Rik|AI461977	dedicator of cytokinesis 8	protein-coding
23.43	chr6	41138986	41139538	+	7737	NA	Intergenic	Lx6|LINE|L1	-103753	NM_023333	67373	Mm.153729	NM_023333	ENSMUSG00000029882	2210010C04Rik	AV072249	RIKEN cDNA 2210010C04 gene	protein-coding
7.56-4	chr11	72563268	72564663	+	7736	NA	Intergenic	Intergenic	-13719	NM_029932	77577	Mm.46185	NM_029932	ENSMUSG00000020798	Spns3	9830002I17Rik	spinster homolog 3	protein-coding
5.88-9	chr2	59792122	59792706	+	7735	NA	intron (NM_198294, intron 10 of 26)	(CGTG)n|Simple_repeat|Simple_repeat	90192	NM_001159636	72137	Mm.288734	NM_028118	ENSMUSG00000026988	Wdsub1	1700048E19Rik|2610014F08Rik	WD repeat, SAM and U-box domain containing 1	protein-coding
14.99	chr4	14672116	14673148	+	7734	NA	intron (NM_028499, intron 7 of 7)	intron (NM_028499, intron 7 of 7)	-50854	NM_145947	208890	Mm.483839	NM_145947	ENSMUSG00000040569	Slc26a7	-	solute carrier family 26, member 7	protein-coding
7.57-10	chr11	101401736	101402348	+	7733	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	15391	NM_144829	69684	Mm.146283	NM_144829	ENSMUSG00000075528	Aarsd1	1110069E20Rik|2310044P18Rik|AA589600|AlaX|AlaXp-II	alanyl-tRNA synthetase domain containing 1	protein-coding
7.57-8	chr11	35048963	35052466	+	7733	NA	Intergenic	Intergenic	-70742	NM_011412	20564	Mm.478604	NM_011412	ENSMUSG00000056427	Slit3	Slil2|Slit1|b2b2362.1Clo	slit guidance ligand 3	protein-coding
7.57-9	chr11	116459199	116459742	+	7733	NA	Intergenic	Intergenic	-5123	NM_001033267	217341	Mm.387352	NM_001033267	ENSMUSG00000070331	Qrich2	Gm66	glutamine rich 2	protein-coding
4.87-3	chr15	26518808	26519932	+	7732	NA	Intergenic	Intergenic	210322	NM_177597	211147	Mm.54257	NM_177597	ENSMUSG00000022269	March11	9630025C22	membrane-associated ring finger (C3HC4) 11	protein-coding
17.91-4	chr3	135672553	135673315	+	7731	NA	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	18613	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding
25.81-2	chr15	36679774	36680758	+	7730	NA	Intergenic	Intergenic	-71293	NM_008774	18458	Mm.371570	NM_008774	ENSMUSG00000022283	Pabpc1	PABP|Pabp1|PabpI|Pabpl1|ePAB	poly(A) binding protein, cytoplasmic 1	protein-coding
5.87-8	chr4	3528120	3528687	+	7729	NA	Intergenic	Intergenic	-8687	NR_037306	100499523		NR_037306	ENSMUSG00000094253	Mir3471-2	mmu-mir-3471-2	microRNA 3471-2	ncRNA
18.33	chr12	111634814	111635637	+	7728	NA	intron (NM_001370744, intron 13 of 17)	ORR1F|LTR|ERVL-MaLR	37113	NM_021273	12709	Mm.16831	NM_021273	ENSMUSG00000001270	Ckb	B-CK|Bck|CPK-B|Ck-3|Ck3|Ckbb	creatine kinase, brain	protein-coding
17.17-2	chr16	60320328	60321391	+	7727	NA	intron (NM_007938, intron 3 of 17)	B3|SINE|B2	284672	NM_007938	13840	Mm.455790	NM_007938	ENSMUSG00000055540	Epha6	Ehk2|Hek12|m-ehk2	Eph receptor A6	protein-coding
14.61-2	chr3	77214532	77214883	+	7726	NA	Intergenic	Intergenic	1139124	NM_001253719	213262	Mm.379337	NM_178673	ENSMUSG00000034098	Fstl5	9130207J01Rik	follistatin-like 5	protein-coding
13.0-2	chr16	25443209	25444088	+	7725	NA	Intergenic	RSINE1|SINE|B4	156831	NM_175165	71338	Mm.126851	NM_175165	ENSMUSG00000048399	Tprg	5430420C16Rik|Tprg1	transformation related protein 63 regulated	protein-coding
6.72-5	chr10	40824545	40826879	+	7724	NA	Intergenic	Intergenic	57431	NM_027879	71713	Mm.46063	NM_027879	ENSMUSG00000038446	Cdc40	1200003H23Rik|EHB3|PRP17	cell division cycle 40	protein-coding
18.85	chr1	45875574	45875842	+	7723	NA	Intergenic	B3|SINE|B2	49886	NM_016917	53945	Mm.28756	NM_016917	ENSMUSG00000025993	Slc40a1	Dusg|Fpn1|IREG1|MTP|MTP1|Ol5|Pcm|Slc11a3|Slc39a1	solute carrier family 40 (iron-regulated transporter), member 1	protein-coding
12.63-3	chr1	157664569	157665347	+	7722	NA	Intergenic	L1Md_F3|LINE|L1	138788	NM_001159986	89867	Mm.87114	NM_033354	ENSMUSG00000026589	Sec16b	Lztr2|Rgpr|Rgpr-p117	SEC16 homolog B (S. cerevisiae)	protein-coding
17.95	chr7	65369797	65370577	+	7721	NA	intron (NM_001163574, intron 1 of 26)	intron (NM_001163574, intron 1 of 26)	1057	NM_001163574	21872	Mm.4342	NM_009386	ENSMUSG00000030516	Tjp1	ZO1	tight junction protein 1	protein-coding
25.74-2	chr8	40498392	40498976	+	7720	NA	intron (NM_001361938, intron 4 of 5)	B3|SINE|B2	11795	NR_155266	18983	Mm.272551	NM_011135	ENSMUSG00000031601	Cnot7	AU022737|CAF-1|Caf1|Pop2	CCR4-NOT transcription complex, subunit 7	protein-coding
8.27-5	chr7	79612781	79614332	+	7719	NA	intron (NM_019799, intron 1 of 10)	intron (NM_019799, intron 1 of 10)	4101	NM_019799	56315	Mm.10909	NM_019799	ENSMUSG00000030549	Rhcg	BB065800	Rhesus blood group-associated C glycoprotein	protein-coding
7.84-11	chr12	53785123	53786323	+	7718	NA	intron (NM_001370962, intron 4 of 11)	MIR3|SINE|MIR	418151	NM_028133	112407	Mm.133037	NM_028133	ENSMUSG00000035105	Egln3	2610021G09Rik|AI505553|AI648162|Hif-p4h-3|Phd3|SM-20	egl-9 family hypoxia-inducible factor 3	protein-coding
6.04-9	chr2	166645600	166645986	+	7717	NA	intron (NM_177782, intron 2 of 39)	B1_Mus2|SINE|Alu	68039	NM_177782	277360	Mm.34420	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
6.02-8	chr11	75395033	75395982	+	7716	NA	intron (NM_001102611, intron 5 of 10)	intron (NM_001102611, intron 5 of 10)	27116	NM_011340	20317	Mm.2044	NM_011340	ENSMUSG00000000753	Serpinf1	AI195227|EPC-1|Pedf|Pedfl|Sdf3	serine (or cysteine) peptidase inhibitor, clade F, member 1	protein-coding
7.8-5	chr4	152185754	152187924	+	7715	NA	intron (NM_001146057, intron 1 of 8)	intron (NM_001146057, intron 1 of 8)	652	NM_001146057	70025	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding
47.57	chr1	156443772	156444119	+	7714	NA	intron (NM_009230, intron 5 of 15)	URR1B|DNA|hAT-Charlie	-23030	NM_001346967	77352	Mm.428709	NM_001033180	ENSMUSG00000026601	Axdnd1	9430070O13Rik|Gm979	axonemal dynein light chain domain containing 1	protein-coding
10.45	chr4	76692183	76692945	+	7713	NA	intron (NR_160919, intron 9 of 39)	intron (NR_160919, intron 9 of 39)	-348321	NM_001352629	19266	Mm.184021	NM_011211	ENSMUSG00000028399	Ptprd	1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta	protein tyrosine phosphatase, receptor type, D	protein-coding
6.57-3	chr10	76289738	76291179	+	7712	NA	intron (NM_001081419, intron 18 of 37)	MTD|LTR|ERVL-MaLR	36622	NM_009115	20203	Mm.235998	NM_009115	ENSMUSG00000033208	S100b	AI850290|Bpb	S100 protein, beta polypeptide, neural	protein-coding
8.08-11	chr17	37870616	37871393	+	7711	NA	Intergenic	MurSatRep1|Unknown|Unknown	20410	NM_146890	258892	Mm.377736	NM_146890	ENSMUSG00000109212	Olfr126	MOR218-1	olfactory receptor 126	protein-coding
10.95-2	chr3	39192060	39192611	+	7710	NA	Intergenic	Intergenic	305395	NM_183221	329628	Mm.316210	NM_183221	ENSMUSG00000046743	Fat4	6030410K14Rik|9430004M15	FAT atypical cadherin 4	protein-coding
53.98	chr6	139363332	139363672	+	7709	NA	Intergenic	L1Md_T|LINE|L1	-40926	NR_045149	70962	Mm.410833	NR_045149	ENSMUSG00000108128	4922502N22Rik	-	RIKEN cDNA 4922502N22 gene	ncRNA
21.64-3	chr17	83964689	83965375	+	7708	NA	Intergenic	Intergenic	-33520	NR_130994	78148	Mm.243918	NR_130994	ENSMUSG00000117431	8430430B14Rik	-	RIKEN cDNA 8430430B14 gene	ncRNA
16.2-5	chr10	77340847	77341567	+	7707	NA	intron (NM_001024837, intron 2 of 10)	intron (NM_001024837, intron 2 of 10)	77066	NR_021486	110532	Mm.276815	NM_130895	ENSMUSG00000020262	Adarb1	1700057H01Rik|AW124433|AW558573|Adar2|BB220382|D10Bwg0447e|Red1	adenosine deaminase, RNA-specific, B1	protein-coding
6.44-6	chr13	23877471	23878855	+	7706	NA	intron (NR_121611, intron 6 of 12)	intron (NR_121611, intron 6 of 12)	7890	NM_001170638	20504	Mm.2656	NM_009198	ENSMUSG00000021335	Slc17a1	NAPI-1|Napi1|Npt1	solute carrier family 17 (sodium phosphate), member 1	protein-coding
28.62-2	chr2	35059992	35060317	+	7705	NA	intron (NM_010406, intron 1 of 40)	intron (NM_010406, intron 1 of 40)	1258	NM_010406	15139	Mm.2168	NM_010406	ENSMUSG00000026874	Hc	C5|C5a|He|Hfib2	hemolytic complement	protein-coding
7.24-4	chr13	46545882	46550067	+	7704	NA	intron (NM_026056, intron 3 of 12)	intron (NM_026056, intron 3 of 12)	46071	NM_026056	67252	Mm.44529	NM_026056	ENSMUSG00000021373	Cap2	2810452G09Rik|AV045235	CAP, adenylate cyclase-associated protein, 2 (yeast)	protein-coding
15.4	chr11	72674896	72675413	+	7703	NA	intron (NM_025985, intron 3 of 5)	(TATG)n|Simple_repeat|Simple_repeat	-14848	NM_009671	11736	Mm.10313	NM_009671	ENSMUSG00000020790	Ankfy1	Ankhzn|ZFYVE14|mKIAA1255	ankyrin repeat and FYVE domain containing 1	protein-coding
7.56-3	chr1	192990655	192992032	+	7702	NA	intron (NM_181546, intron 2 of 7)	RLTR11A2|LTR|ERVK	44432	NM_181546	329324	Mm.76710	NM_181546	ENSMUSG00000016200	Syt14	B230320I09Rik|sytXIV	synaptotagmin XIV	protein-coding
7.09-3	chr18	66107915	66110369	+	7701	NA	intron (NM_178793, intron 2 of 10)	intron (NM_178793, intron 2 of 10)	-106507	NM_027400	70361	Mm.290857	NM_027400	ENSMUSG00000041891	Lman1	2610020P13Rik|AI326273|AU043785|C730041J05|ERGIC53|F5F8D|MCFD1|MR60|P58|gp58	lectin, mannose-binding, 1	protein-coding
9.63-4	chr2	62434653	62436886	+	7700	NA	Intergenic	Intergenic	-23538	NM_001159543	13482	Mm.1151	NM_010074	ENSMUSG00000035000	Dpp4	Cd26|Dpp-4|THAM	dipeptidylpeptidase 4	protein-coding
4.64-3	chr2	49374781	49376768	+	7699	NA	Intergenic	MER5A1|DNA|hAT-Charlie	-75712	NM_172663	227867	Mm.29167	NM_172663	ENSMUSG00000069495	Epc2	5830499L14|D2Ertd694e	enhancer of polycomb homolog 2	protein-coding
25.08	chr6	8078677	8078994	+	7698	NA	intron (NM_001037865, intron 23 of 34)	MER81|DNA|hAT-Blackjack	113782	NM_001037865	213945	Mm.297404	NM_001037865	ENSMUSG00000068794	Col28a1	Col28|Gm466	collagen, type XXVIII, alpha 1	protein-coding
4.64-2	chr1	131017389	131020408	+	7697	NA	promoter-TSS (NM_010548)	promoter-TSS (NM_010548)	-947	NM_010548	16153	Mm.874	NM_010548	ENSMUSG00000016529	Il10	CSIF|Il-10	interleukin 10	protein-coding
3.95-2	chr17	56352350	56358194	+	7696	NA	intron (NM_001357909, intron 4 of 21)	intron (NM_001357909, intron 4 of 21)	29222	NM_001357909	193796	Mm.45047	NM_172132	ENSMUSG00000024201	Kdm4b	4732474L06Rik|Jmjd2b	lysine (K)-specific demethylase 4B	protein-coding
7.96-9	chr1	59949808	59950116	+	7695	NA	intron (NM_001037725, intron 2 of 7)	B1_Mus2|SINE|Alu	36956	NM_001037725	72750	Mm.258250	NM_001037725	ENSMUSG00000041040	Fam117b	2810425F24Rik|6330416D14Rik|Als2cr13	family with sequence similarity 117, member B	protein-coding
17.91-3	chr11	72158326	72158661	+	7694	NA	intron (NM_001361564, intron 18 of 18)	MLT1A|LTR|ERVL-MaLR	-22604	NM_001024927	327958	Mm.351793	NM_001024927	ENSMUSG00000040543	Pitpnm3	A330068P14Rik|AI848332|Ackr6|Gm880	PITPNM family member 3	protein-coding
6.11-5	chr6	144104932	144106451	+	7693	NA	intron (NM_001113559, intron 3 of 13)	intron (NM_001113559, intron 3 of 13)	103877	NM_011444	20678	Mm.1752	NM_011444	ENSMUSG00000041540	Sox5	A730017D01Rik|AI528773	SRY (sex determining region Y)-box 5	protein-coding
6.29-4	chr11	68942687	68944780	+	7692	NA	3' UTR (NM_177566, exon 16 of 16)	3' UTR (NM_177566, exon 16 of 16)	13154	NM_001364772	442801	Mm.376147	NM_177566	ENSMUSG00000052921	Arhgef15	D130071N09|D530030K12Rik|E5	Rho guanine nucleotide exchange factor (GEF) 15	protein-coding
12.69-3	chr17	31184668	31185143	+	7691	NA	intron (NM_080727, intron 9 of 11)	intron (NM_080727, intron 9 of 11)	12844	NM_080727	140765	Mm.214638	NM_080727	ENSMUSG00000024034	Tmprss3	-	transmembrane protease, serine 3	protein-coding
10.41-3	chr16	5004404	5005205	+	7690	NA	Intergenic	B1_Mus1|SINE|Alu	-2484	NM_001253802	432995	Mm.271618	NM_001253796	ENSMUSG00000096215	Smim22	EG432995|Gm5480	small integral membrane protein 22	protein-coding
4.97-9	chr14	68986193	68986927	+	7689	NA	Intergenic	Intergenic	-42729	NM_009285	20855	Mm.20911	NM_009285	ENSMUSG00000014813	Stc1	Stc	stanniocalcin 1	protein-coding
26.29-2	chr12	27465017	27466352	+	7688	NA	Intergenic	Intergenic	-122966	NM_009234	20666	Mm.41702	NM_009234	ENSMUSG00000063632	Sox11	1110038H03Rik|6230403H02Rik|AI836553|end1	SRY (sex determining region Y)-box 11	protein-coding
28.96-3	chr3	57019467	57020045	+	7687	NA	Intergenic	L1VL4|LINE|L1	282232	NM_001355130	17112	Mm.856	NM_008536	ENSMUSG00000027800	Tm4sf1	L6|M3s1	transmembrane 4 superfamily member 1	protein-coding
23.84-3	chr18	26481341	26482405	+	7686	NA	Intergenic	RLTR26_Mus|LTR|ERVK	-727716	NM_001146294	108013	Mm.266435	NM_133195	ENSMUSG00000024268	Celf4	A230070D14Rik|BRUNOL-4|Brul4|Brunol4|C130060B05Rik	CUGBP, Elav-like family member 4	protein-coding
4.89-3	chr15	68433828	68437644	+	7685	NA	Intergenic	Intergenic	-94447	NR_029718	387228		NR_029718	ENSMUSG00000065437	Mir30d	Mirn30d|mir-30d|mmu-mir-30d	microRNA 30d	ncRNA
7.89-8	chr3	136768641	136769351	+	7684	NA	intron (NM_001293622, intron 1 of 12)	intron (NM_001293622, intron 1 of 12)	98930	NM_001293622	19055	Mm.331389	NM_008913	ENSMUSG00000028161	Ppp3ca	2900074D19Rik|CN|Caln|Calna|CnA	protein phosphatase 3, catalytic subunit, alpha isoform	protein-coding
9.86-7	chr12	84531095	84532612	+	7683	NA	TTS (NM_173756)	TTS (NM_173756)	-37975	NM_007701	12677	Mm.4405	NM_007701	ENSMUSG00000021239	Vsx2	Chx10|Hox-10|Hox10|or	visual system homeobox 2	protein-coding
37.79-2	chr15	58046329	58046810	+	7682	NA	TTS (NM_001042438)	TTS (NM_001042438)	-12275	NM_029418	75758	Mm.455792	NM_029418	ENSMUSG00000101892	9130401M01Rik	AI849328	RIKEN cDNA 9130401M01 gene	protein-coding
6.04-8	chr13	32064746	32065622	+	7681	NA	intron (NM_146041, intron 7 of 10)	intron (NM_146041, intron 7 of 10)	258538	NM_008592	17300	Mm.12949	NM_008592	ENSMUSG00000050295	Foxc1	FREAC3|Fkh1|Mf1|Mf4|ch|fkh-1|frkhda	forkhead box C1	protein-coding
6.55-2	chr6	13818791	13820623	+	7680	NA	Intergenic	Intergenic	20235	NM_001330667	64450	Mm.167625	NM_145066	ENSMUSG00000048216	Gpr85	2900026B03Rik	G protein-coupled receptor 85	protein-coding
18.11-3	chr9	30717968	30718473	+	7679	NA	Intergenic	Intergenic	202730	NM_001329420	235130	Mm.65867	NM_001024139	ENSMUSG00000033453	Adamts15	-	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	protein-coding
6.01-7	chr14	118378878	118379622	+	7678	NA	intron (NR_045624, intron 3 of 5)	MTE2a|LTR|ERVL-MaLR	13372	NR_045624	73306	Mm.362328	NR_045624	ENSMUSG00000099911	1700044C05Rik	-	RIKEN cDNA 1700044C05 gene	ncRNA
24.7	chr6	113288225	113288578	+	7677	NA	intron (NM_170673, intron 6 of 19)	intron (NM_170673, intron 6 of 19)	6094	NM_170673	211232	Mm.65597	NM_170673	ENSMUSG00000030270	Cpne9	A730016F12Rik|mKIAA4217	copine family member IX	protein-coding
12.86-3	chr9	110538126	110539225	+	7676	NA	intron (NM_001081340, intron 1 of 20)	intron (NM_001081340, intron 1 of 20)	6078	NM_001081340	235626	Mm.288949	NM_001081340	ENSMUSG00000044791	Setd2	4921524K10Rik|BC031601|KMT3A	SET domain containing 2	protein-coding
8.0-10	chr2	94764469	94766308	+	7675	NA	Intergenic	Intergenic	-327202	NM_007466	11800	Mm.181824	NM_007466	ENSMUSG00000027193	Api5	AAC-11|AI196452|API-5	apoptosis inhibitor 5	protein-coding
18.4-3	chr7	138900401	138901400	+	7674	NA	intron (NM_009760, intron 1 of 5)	intron (NM_009760, intron 1 of 5)	8606	NM_009760	12176	Mm.378890	NM_009760	ENSMUSG00000078566	Bnip3	Nip3	BCL2/adenovirus E1B interacting protein 3	protein-coding
18.09-2	chr2	122260255	122261467	+	7673	NA	intron (NM_146126, intron 7 of 8)	intron (NM_146126, intron 7 of 8)	26022	NM_146126	20322	Mm.371580	NM_146126	ENSMUSG00000027227	Sord	SDH|Sdh-1|Sdh1|Sodh-1|XDH	sorbitol dehydrogenase	protein-coding
82.24	chr13	107960699	107961008	+	7672	NA	Intergenic	Intergenic	-70789	NM_145456	67263	Mm.490418	NM_145456		Zswim6	2900036G02Rik|mKIAA1577	zinc finger SWIM-type containing 6	protein-coding
16.58-4	chr15	76169836	76170853	+	7671	NA	TTS (NM_201392)	TTS (NM_201392)	25366	NM_201394	18810	Mm.234912	NM_011117	ENSMUSG00000022565	Plec	AA591047|AU042537|EBS1|PCN|PLTN|Plec1	plectin	protein-coding
11.84-7	chr10	18511803	18512325	+	7670	NA	intron (NM_173390, intron 4 of 6)	intron (NM_173390, intron 4 of 6)	34012	NM_019487	56016	Mm.35551	NM_019487	ENSMUSG00000019853	Hebp2	SOUL	heme binding protein 2	protein-coding
10.49-3	chr16	45393656	45394073	+	7669	NA	intron (NM_010818, intron 4 of 5)	intron (NM_010818, intron 4 of 5)	15189	NM_010818	17470	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding
5.97-15	chr7	48135694	48136480	+	7668	NA	Intergenic	L1Md_T|LINE|L1	32898	NM_207538	404239	Mm.377927	NM_207538	ENSMUSG00000070551	Mrgprb5	Mgrg11|MrgB5	MAS-related GPR, member B5	protein-coding
4.28-2	chr9	32179408	32180744	+	7667	NA	intron (NM_001370957, intron 5 of 21)	intron (NM_001370957, intron 5 of 21)	-44199	NM_177379	330914	Mm.46683	NM_177379	ENSMUSG00000041444	Arhgap32	3426406O18Rik|Gc-gap|Grit|Px-rics|Rics|mKIAA0712|p200Rhogap|p250Gap	Rho GTPase activating protein 32	protein-coding
7.18-5	chr6	31112371	31116366	+	7666	NA	intron (NR_110471, intron 3 of 3)	intron (NR_110471, intron 3 of 3)	-51275	NR_029532	387223		NR_029532	ENSMUSG00000065604	Mir29b-1	Mirn29b|Mirn29b-1|mir-29b-1	microRNA 29b-1	ncRNA
16.77-5	chr5	107625128	107625611	+	7665	NA	intron (NM_001359918, intron 9 of 12)	intron (NM_001359918, intron 9 of 12)	8481	NR_046195	78443	Mm.490703	NR_046195	ENSMUSG00000085900	A930041C12Rik	-	RIKEN cDNA A930041C12 gene	ncRNA
26.31	chr2	27700946	27701322	+	7664	NA	intron (NM_011305, intron 1 of 9)	intron (NM_011305, intron 1 of 9)	-8158	NM_001290481	20181	Mm.24624	NM_011305	ENSMUSG00000015846	Rxra	9530071D11Rik|Nr2b1|RXRalpha1	retinoid X receptor alpha	protein-coding
7.97-15	chr17	75301917	75302491	+	7663	NA	intron (NM_206958, intron 15 of 29)	intron (NM_206958, intron 15 of 29)	123423	NM_001331237	268977	Mm.269747	NM_019919	ENSMUSG00000001870	Ltbp1	9430031G15Rik|9830146M04|Ltbp-1|Ltbp1L|TGF-beta1-BP-1|Tgfb|b2b1000Clo	latent transforming growth factor beta binding protein 1	protein-coding
12.65	chr17	55427674	55428167	+	7662	NA	Intergenic	Intergenic	-17462	NM_001347403	240119	Mm.311687	NM_172829	ENSMUSG00000024172	St6gal2	C230064G14Rik|St6galII|mKIAA1877	beta galactoside alpha 2,6 sialyltransferase 2	protein-coding
15.78-2	chr10	110968419	110969266	+	7661	NA	intron (NM_001359622, intron 5 of 16)	intron (NM_001359622, intron 5 of 16)	41167	NM_001359622	320150	Mm.339281	NM_172554	ENSMUSG00000035798	Zdhhc17	A230053P19Rik|BB187739|D130071N24Rik|DHHC-17|Hip14	zinc finger, DHHC domain containing 17	protein-coding
27.75	chr5	37741060	37741694	+	7660	NA	Intergenic	Intergenic	5858	NM_001081106	231162	Mm.76407	NM_001081106	ENSMUSG00000062329	Cytl1	4930443F05Rik|4Cytl1|C17|Cyt1|Gm147	cytokine-like 1	protein-coding
15.65-4	chr2	159508252	159508634	+	7659	NA	Intergenic	L1ME1|LINE|L1	-438898	NR_040498	71081	Mm.383491	NR_040498	ENSMUSG00000085198	4933416E03Rik	-	RIKEN cDNA 4933416E03 gene	ncRNA
6.48-5	chr16	47211926	47213815	+	7658	NA	Intergenic	Intergenic	-715903	NM_021497	58998	Mm.40477	NM_021495	ENSMUSG00000022656	Nectin3	2610301B19Rik|3000002N23Rik|4921513D19Rik|AA407785|AU016832|AW538082|CD113|Pvrl3	nectin cell adhesion molecule 3	protein-coding
12.01-2	chr2	172024274	172025341	+	7657	NA	Intergenic	Intergenic	18659	NM_175631	228942	Mm.40555	NM_175631	ENSMUSG00000067578	Cbln4	AI848962	cerebellin 4 precursor protein	protein-coding
6.86-5	chr14	17577900	17579221	+	7656	NA	Intergenic	Intergenic	-82400	NM_001113417	21834	Mm.32563	NM_009380	ENSMUSG00000021779	Thrb	Nr1a2|T3R[b]|T3Rbeta|Thrb1|Thrb2|c-erbAbeta	thyroid hormone receptor beta	protein-coding
7.46-3	chr12	113087641	113090585	+	7655	NA	TTS (NM_001361920)	TTS (NM_001361920)	-9165	NM_001364622	116870	Mm.212577	NM_054081	ENSMUSG00000021144	Mta1	-	metastasis associated 1	protein-coding
10.37-3	chr5	39436920	39437703	+	7654	NA	Intergenic	PB1D10|SINE|Alu	166263	NR_045416	75095	Mm.332354	NR_045416	ENSMUSG00000106741	4930513D17Rik	-	RIKEN cDNA 4930513D17 gene	ncRNA
13.93-7	chrX	141751159	141752532	+	7653	NA	Intergenic	Intergenic	-26628	NM_010572	16370	Mm.261591	NM_010572	ENSMUSG00000054667	Irs4	IRS-4	insulin receptor substrate 4	protein-coding
5.61-5	chr19	7542050	7543001	+	7652	NA	Intergenic	Lx3C|LINE|L1	-14934	NM_139269	225845	Mm.274810	NM_139269	ENSMUSG00000060675	Plaat3	AdPLA|C78643|HRSL3|Hrasls3|Hrev107|MLP-3|Pla2g16	phospholipase A and acyltransferase 3	protein-coding
8.39-4	chr3	10737113	10738632	+	7651	NA	Intergenic	Lx6|LINE|L1	-297742	NM_029068	74718	Mm.440548	NM_029068	ENSMUSG00000027534	Snx16	4930522N22Rik|AI117577|AI747675	sorting nexin 16	protein-coding
5.85-2	chr10	52727804	52728475	+	7650	NA	intron (NM_178675, intron 1 of 7)	intron (NM_178675, intron 1 of 7)	37638	NM_178675	215085	Mm.338690	NM_178675	ENSMUSG00000038602	Slc35f1	Duf6|E130016L02	solute carrier family 35, member F1	protein-coding
